Award Title,Authors,Publication Title
Best Poster Award - Regular Posters,"Dimah Bassal and Daniel Medeiros","Adaptive Augmented Reality Pathfinding for Parkinson's Disease: Integrating Visual Cueing with User-Directed Navigation"
Best Poster Award - Posters from Conference Papers,"Ripan Kumar Kundu, Istiak Ahmed, John Quarles, and Khaza Anuarul Hoque","ExciteVR: Effective Cybersickness Mitigation in Virtual Reality using Explainable Artificial Intelligence and Large Language Models"
Honorable Mention - Best Poster Award - Regular Posters,"Eunbeen Jeong and Uijong Ju","Reducing Visual Fatigue in XR via Peripheral Chromatic Blur"
Honorable Mention - Best Poster Award - Regular Posters,"Minseo Choi, Hoe Sung Ryu, Haechan Lee, and Uijong Ju","Your Eyes Hold Your Mind: Gaze-Based Inference of Human Decision-Making in Conditionally Automated Driving"
Honorable Mention - Best Poster Award - Posters from Conference Papers,"Yue Yang, Xue Xie, Xingkai Wang, Hui Zhang, Chiming Yu, Xiaoxian Xiong, Lifeng Zhu, Yuanyi Zheng, Jue Cen, Bruce Daniel, and Fred Baik","Impact of Target and Tool Visualization on Depth Perception and Usability in Optical See-Through AR"
Honorable Mention - Best Poster Award - Posters from Conference Papers,"Simone Spera, Otino Pio Santosuosso, Aurelio Sepe, Giuliana Vitiello, Andrea Antonio Cantone, and Stephen Brewster","cARdefender: a Mixed Reality Game for Vehicle Passengers"
Best Demonstration Award,"Dohyeon Yeo, Gwangbin Kim, Minwoo Oh, Jeongju Park, Bocheon Gim, Seongjun Kang, Ahmed Elsharkawy, and SeungJun Kim","Demonstration of Multisensory In-Car VR: Repurposing the Vehicle's HVAC System and Power Seat for Immersive Haptic Feedback"
Honorable Mention - Best Demonstration Award,"Kuan-Ning Chang, Yu-Hin Chan, Jung Shen, Meng-Wei Lu, Tse-Yu Pan, and Ping-Hsuan Han","Avacard: Exercise Data-Driven AI-Generated Cards to Enhance Interactivity for Extended Reality Exergame Through Metagame"
Best Doctoral Consortium Presentation Award,"Yanming Xiu","Toward Safe, Trustworthy and Realistic Augmented Reality User Experience"
Honorable Mention - Best Doctoral Consortium Presentation,"Hunter Finney","Thinking Outside the Eyebox: Evaluation of Perceptual Effects Deriving from Pupil Swim Distortions in Head-Mounted Displays"
Best Student Volunteer Award,"Seo Young Oh",""
Best Student Volunteer Award,"Adamay Mann",""
