Demo ID,Session,Title,Authors,Affiliations,Abstract
1010,8 October 2026,BIO-INFINIBRICK: A Tool for Studies on Prolonged Immersive Virtual Reality Exposure,"Enricoandrea Laviola, Antonio E. Uva, Michele Gattullo","Enricoandrea Laviola — Polytechnic University of Bari
Antonio E. Uva — Polytechnic Institute of Bari
Michele Gattullo — Polytechnic University of Bari","Immersive Virtual Reality (IVR) is valuable for industrial training, with recent studies focusing on how virtual environment design affects user experience. Biophilic design shows promise for enhancing attention and cognitive restoration. However, evaluating these benefits requires experimental setups that support prolonged user exposure. To address this requirement, we introduce BIO-INFINIBRICK, an IVR-based tool that supports user studies of extended duration. It includes two phases: a biophilic configuration, allowing users to design their virtual workspace, and a customizable, endless assembly task. This demonstration aims to present a ready-to-use, technically accessible tool that lowers the barrier to IVR experimentation."
1071,8 October 2026,Co-Generated Visual and Verbal Guidance: An LLM Agent for VR Assembly Training,"Tana Glemser, Benjamin Weyers","Tana Glemser — Trier University
Benjamin Weyers — Trier University","Virtual Reality provides a safe, repeatable environment for procedural learning such as assembly training. Visual cues (e.g., highlighting, directional arrows) are well established for reducing cognitive load and improving task performance. Meanwhile, advances in large language models (LLMs) enable embodied virtual agents to give flexible, adaptive verbal instructions with in-depth knowledge. However, it remains underexplored how visual guidance and virtual agents can be combined within a single training scenario. We present a VR training application in which a GPT4o-based virtual agent generates both verbal instructions and the accompanying visual cues, allowing users to experience combined guidance during an assembly task."
1068,8 October 2026,Demonstrating SensoryBlox: Plug-and-Feel Modular Multi-Sensory User Interface for Immersive Cardboard VR,"Hyunjae Gil, Abbas Khawaja, Jin Ryong Kim","Hyunjae Gil — Daegu Gyeongbuk Institute of Science and Technology (DGIST)
Abbas Khawaja — The University of Texas at Dallas
Jin Ryong Kim — The University of Texas at Dallas","We present SensoryBlox, a modular, multi-sensory interface for cardboard-based virtual reality (VR) head-mounted displays (HMDs). SensoryBlox combines interchangeable vibration, thermal, airflow, and olfactory modules that can be assembled into customized hardware configurations for immersive experiences. The system integrates in-VR interfaces for module recognition, spatial tracking, and real-time customization of sensory feedback. We demonstrate SensoryBlox and its application in an interactive VR environment, allowing users to explore how rapidly reconfigurable multi-sensory hardware can support flexible interaction design and enhance immersion in accessible VR environments."
1066,8 October 2026,Demonstration of Flashpoint: A Thermally-Charged Arcade Experience,"Daniel Honrales, Mason Liu, Jason Cheon, Jin Ryong Kim","Daniel Honrales — The University of Texas at Dallas
Mason Liu — The University of Texas at Dallas
Jason Cheon — The University of Texas at Dallas
Jin Ryong Kim — The University of Texas at Dallas","We introduce Flashpoint, a multisensory system combining vibrotactile and thermal actuation to deliver spatiotemporally dynamic, contextually driven feedback. By leveraging perceptual mechanisms over dense actuator arrays, our gauntlet interface renders expressive feedback patterns--across vibration, impact, heat, and cold-- while maintaining compact and minimal hardware. We also demonstrate portability and deployability by pairing the interface with a competitive multiplayer AR game, interweaving multisensory feedback with virtual and physical interactions. Through Flashpoint, we showcase a practical approach towards deep multimodal integration with XR applications, pointing towards new opportunities for multisensory interaction in future systems."
1072,8 October 2026,Emerging Interaction Techniques for Immersive Authoring of Mixed Reality Experiences: An Interactive Demo,"Xuyu Li, Kieran Nolan, John Dingliana","Xuyu Li — Trinity College Dublin
Kieran Nolan — Dundalk Institute of Technology
John Dingliana — Trinity College Dublin","We present a system that employs multiple interaction techniques for the authoring of mixed reality experiences. The cross-reality system allows users to intuitively position and rotate objects in a scaled-down representation of the environment, while also viewing the corresponding placement of the full-scale objects in the real world. The presented demo offers a showcase and exploration of different forms of manual interaction, including a handheld controller, a pen-like interface, a physical proxy cube that users can manipulate to move attached virtual objects in the environment, and mid-air gestural interaction, which has been widely explored in mixed reality applications."
1062,8 October 2026,Missing One: Reconstructing Human Presence through 4D Gaussian Avatars in Mixed Reality,"Yihua Bao, Fanyi Meng, Mo Su, Junyu Chen, Song Xinnan","Yihua Bao — Beijing Institute of Technology
Fanyi Meng — China and Key Laboratory of Intelligent Dramatic Arts Space
Mo Su — Soul Shell Technology Co., Ltd.
Junyu Chen — China Institute of Arts Science & Technology
Song Xinnan — Soul Shell Technology Co., Ltd.","Missing One is an immersive mixed reality narrative that reconstructs a live performer as a time-varying 4D Gaussian avatar. Captured by a synchronized 66-camera array, the performer is integrated with a virtual Long March shelter, props, and spatial audio. The viewer is positioned beside an empty seat reserved for a missing companion and is repeatedly addressed through gaze, gesture, and offered objects. Combining volumetric capture, dynamic Gaussian reconstruction, and viewer-centered dramaturgy in a minimally interactive experience, the demonstration shows how reconstructed digital humans can support emotionally legible storytelling in embodied mixed reality."
1058,8 October 2026,Spatial Rhythm Game: A Foot-Based Mixed-Reality Rhythm Game with Eight-Channel Audio Trajectories,"Jooeun Lim, Hyerim Yun, Jaeyoung An, Serena Li, Sungyoung Kim","Jooeun Lim — Korea Advanced Institute of Science & Technology (KAIST)
Hyerim Yun — Korea Advanced Institute of Science & Technology (KAIST)
Jaeyoung An — Korea Advanced Institute of Science & Technology (KAIST)
Serena Li — New York University
Sungyoung Kim — Korea Advanced Institute of Science and Technology (KAIST)","Spatial Rhythm Game is a mixed-reality rhythm game using spatial audio as its primary gameplay cue. The work uses spatial audio in two interlocking roles. As the gameplay surface, players hear directional cues through loudspeakers and step on a floor pad aligned with world-locked hit lines in a Meta Quest passthrough. A single-channel transition sound serves as an advance cue for planning rotation. The game uses a three-process split. An offline Python pipeline generates note charts from hand-authored CSVs, Max/MSP renders real-time eight-channel audio, and Unity drives chart timing, game logic, OSC triggers, foot pad input, and Meta Quest rendering."
1063,8 October 2026,StrokeLens XR: An AI-Enabled Extended Reality Platform for Clinician-in-the-Loop Remote Stroke Assessment,"David Ferrufino, Lauren Viado, Christiana Nardi, Dominic Gigliotti, Daniel Falcao, Rodrigo Spinola","David Ferrufino — Virginia Commonwealth University
Lauren Viado — Virginia Commonwealth University
Christiana Nardi — Virginia Commonwealth University
Dominic Gigliotti — Virginia Commonwealth University
Daniel Falcao — Virginia Commonwealth University
Rodrigo Spinola — Virginia Commonwealth University","We present StrokeLens XR, an AI-enabled extended reality platform for remote stroke assessment. The system allows first responders wearing a headset to stream a first-person view of the patient to a remote neurologist, who can guide the examination, document NIH Stroke Scale findings, and request AI-assisted evaluation of selected neurological tasks. Rather than replacing clinicians, StrokeLens XR augments clinical decision-making while preserving physician oversight and accountability. The demonstration lets attendees experience both the first-responder and neurologist perspectives, showcasing how mixed reality and human-centered AI enhance collaboration and shared situational awareness in time-critical stroke care."
1077,8 October 2026,Taste as Form: Real-time Crossmodal Visualization of Eating Experiences in Mixed Reality,"Qingzhu Zhang, Yunting Zhao","Qingzhu Zhang — University of California, Berkeley
Yunting Zhao","We present Taste as Form, a mixed reality system that translates eating sensations into real-time generative visual structures. The system integrates vision-based food analysis to infer taste, texture (mouthfeel), and color, synchronized with sEMG sensing of chewing dynamics. Taste inputs determine geometric form and color palettes, while texture cues dictate material physics and motion behavior. The visual animation is driven by the user's real-time chewing rhythm, which modulates the onset, intensity, and decay of the effects. This work proposes a framework for structuring taste and texture as computational interaction signals to generate real-time interpretable visual feedback for immersive dining experiences."
1069,8 October 2026,Zero-Install WebXR for City-Scale Environmental AR: Deployment and Empirical Evaluation of Situated Comprehension,"Ana Herruzo, Janki Patel, Hemanth Sangaraju, Sai Praveen Kumar Salapu, Alba Olive","Ana Herruzo — Arizona State University
Janki Patel — Arizona State University
Hemanth Sangaraju — Arizona State University
Sai Praveen Kumar Salapu — Arizona State University
Alba Olive — Arizona State University","Sentient XR transforms a live urban sensor network into an immersive WebXR experience that visualizes real-time environmental conditions directly within the physical world. By scanning a QR code, users instantly access AR in their mobile browser without installing an application. The system visualizes minute-level temperature, humidity, and wind data from approximately 260 weather stations across a 138-square-mile metropolitan area using geospatially anchored particle fields. Built on standards-based WebXR, a real-time cloud pipeline, and performance-aware rendering, Sentient XR demonstrates how browser-based augmented reality can make city-scale environmental sensing interactive, accessible, and deployable as public civic infrastructure."
1089,9 October 2026,AI-Guided Wayfinding in a Virtual Hospital: A Multisensory Demo for Visually Impaired Users,"Luiza Martins de Freitas Cintra, Elisa Ayumi Masasi de Oliveira, Andressa Araújo Bastos, Gustavo Webster, Rhaymison Cristian Heleno de Oliveira Betini, Vinicius Tomaz Bonilha, Rafael Teixeira Sousa, ARLINDO GALVÃO","Luiza Martins de Freitas Cintra — Advanced Knowledge Center in Immersive Technology - AKCIT
Elisa Ayumi Masasi de Oliveira — Advanced Knowledge Center in Immersive Technology - AKCIT; Federal University of Goiás
Andressa Araújo Bastos — Advanced Knowledge Center in Immersive Technology - AKCIT
Gustavo Webster — Advanced Knowledge Center in Immersive Technology - AKCIT
Rhaymison Cristian Heleno de Oliveira Betini — Advanced Knowledge Center in Immersive Technology - AKCIT
Vinicius Tomaz Bonilha — Advanced Knowledge Center in Immersive Technology - AKCIT
Rafael Teixeira Sousa — Federal University of Mato Grosso; Advanced Knowledge Center in Immersive Technology - AKCIT
ARLINDO GALVÃO — Federal University of Goias; Advanced Knowledge Center in Immersive Technology - AKCIT","We present an interactive demo of an AI-driven multisensory framework that lets visually impaired attendees navigate a virtual hospital
reception hall using only auditory and haptic feedback. A Vision-Language Model (GPT-4o) interprets the scene in real time and answers spoken
queries through synthesized speech, while a collision-based haptic module signals proximity to the reception desk, waiting area, and bathroom.
Wearing a Meta Quest 3 headset, attendees complete the same wayfinding tasks used in our study with blind and low-vision participants,
experiencing how AI-generated descriptions can substitute for sight in a realistic public space."
1092,9 October 2026,AgentCompositor: A Conversational Agent that Live-Codes Music in XR,"Luiz Fernando Vidal, Gustavo Webster, Walcy Rios, ARLINDO GALVÃO","Luiz Fernando Vidal — Federal University of Goias
Gustavo Webster — Advanced Knowledge Center in Immersive Technology - AKCIT
Walcy Rios — Federal University of Goias
ARLINDO GALVÃO — Federal University of Goias","Conversational agents in XR typically produce speech. AgentCompositor produces music that never stops. Speech or text drives a large language model that
edits a layered song model through typed tool calls; the result is serialized to Strudel pattern code, validated, and hot-swapped into a running loop.
Because the artifact is continuous, each turn yields an audible diff: the learner hears the change before the agent names the concept behind it. The
same session moves from desktop to headset, where chat gives way to voice-first turn-taking with synchronized captions, while the arrangement
grows as audio-reactive lanes around the listener."
1093,9 October 2026,An Integrated Workspace-Aware AI Tutoring System for Immersive XR Classrooms,"Edward Scott Carvalho Johnson, Davi Duarte de Freitas, Pedro Engelberg Silva Borges, Wilson Maranhão Ramos Filho, Diogo Fernandes, Arlindo Rodrigues Galvão Filho","Edward Scott Carvalho Johnson — Federal University of Goiás
Davi Duarte de Freitas — Federal University of Rio Grande Do Norte
Pedro Engelberg Silva Borges — Federal University of Goiás
Wilson Maranhão Ramos Filho — Federal University of Goiás
Diogo Fernandes — Federal University of Goiás
Arlindo Rodrigues Galvão Filho — Federal University of Goias","This research demo presents a system for mathematics learning in Virtual Reality. The system was developed in Unreal Engine for Meta Quest 3 and provides multimodal interaction through spoken instruction, whiteboard visualizations, and feedback grounded in learner-written work. An embodied AI tutor coordinates these modalities and supports learners. Users can write with a VR controller or Android touchscreen. Each spoken question is processed with an image of the workspace, enabling the tutor to trace intermediate calculations and provide scaffolding rather than complete answers. The experience includes a lesson, adaptive guided practice, and an unsupported quiz."
1079,9 October 2026,Chinatown ARcade：A Gesture-Based Role-Play Scavenger Hunt on AR Glasses in a Historic District,"Daoxin Chen, Zihao Zhang, Hongming Li, Zeyu No Wang, Ningyuan Hu, Fei Deng","Daoxin Chen — Indiana University Bloomington
Zihao Zhang — WanderLens Lab
Hongming Li — WanderLens Lab
Zeyu No Wang — WanderLens Lab
Ningyuan Hu — WanderLens Lab
Fei Deng — WanderLens Lab","This demo, Chinatown ARcade, is the first outdoor AR-glasses scavenger hunt game on Doyers Street in Manhattan's Chinatown, New York City. Supported by Snap Spectacles AR glasses, it immerses participants in the stories, symbols, and history of Chinatown through a frame-and-capture gesture interaction. Players choose one of the three roles, the gangster, the police officer, or the restaurant owner, and need to search along the street to collect models tied to the role. This demo contributes to an embodied game design for a scavenger hunt in the cultural heritage setting."
1088,9 October 2026,Embodying Tarsila do Amaral as a Guide in an Immersive VR Museum: A Spatially-Aware Retrieval-Augmented Generation Demonstration,"Elisa Ayumi Masasi de Oliveira, Andressa Araújo Bastos, Gustavo Webster, Rhaymison Cristian Heleno de Oliveira Betini, Vinicius Tomaz Bonilha, Luiza Martins de Freitas Cintra, Rafael Teixeira Sousa, ARLINDO GALVÃO","Elisa Ayumi Masasi de Oliveira — Advanced Knowledge Center in Immersive Technology - AKCIT; Federal University of Goiás
Andressa Araújo Bastos — Advanced Knowledge Center in Immersive Technology - AKCIT
Gustavo Webster — Advanced Knowledge Center in Immersive Technology - AKCIT
Rhaymison Cristian Heleno de Oliveira Betini — Advanced Knowledge Center in Immersive Technology - AKCIT
Vinicius Tomaz Bonilha — Advanced Knowledge Center in Immersive Technology - AKCIT
Luiza Martins de Freitas Cintra — Advanced Knowledge Center in Immersive Technology - AKCIT
Rafael Teixeira Sousa — Federal University of Mato Grosso; Advanced Knowledge Center in Immersive Technology - AKCIT
ARLINDO GALVÃO — Advanced Knowledge Center in Immersive Technology - AKCIT; Federal University of Goias","We demonstrate a virtual reality museum where visitors converse in real time with a digital persona of Brazilian modernist artist Tarsila do Amaral. The system implements Spatially-Aware Retrieval-Augmented Generation (SA-RAG), using the visitor's head orientation to detect the observed artwork and retrieve artwork-specific context that grounds a large language model's spoken responses. Built in Unreal Engine 5 with real-time speech recognition and text-to-speech, the demo lets attendees explore Tarsila's canonical paintings and ask her digital twin, in Brazilian Portuguese and English, about the work. The demo shows how spatial attention can replace explicit querying for grounded, persona-driven cultural heritage dialogue."
1090,9 October 2026,Hear the Exhibit: Combining VR and LLMs for an Interactive Music Museum,"Gustavo Webster, Walcy Rios, Andressa Araújo Bastos, Luiz Fernando Vidal, ARLINDO GALVÃO","Gustavo Webster — Advanced Knowledge Center in Immersive Technology - AKCIT
Walcy Rios — Federal University of Goias
Andressa Araújo Bastos — Advanced Knowledge Center in Immersive Technology - AKCIT
Luiz Fernando Vidal — Federal University of Goias
ARLINDO GALVÃO — Federal University of Goias","Music museums are silent and static: instruments are shown through labels and images rather than heard. We present a prototype VR music museum pairing immersive interaction with large language models for personalized learning. Wearing a head-mounted display, a visitor approaches an instrument and receives a concise, museum-guide description generated by an LLM in their own language; the instrument can be heard, alone or in an ensemble. A Python backend links an Unreal Engine client to the LLM and, to a text-to-music model. The gap is integration and reach, not technology; next steps target under-represented instruments."
1091,9 October 2026,"SemanticXR: Low Power, Real-time Queryable Semantic Mapping with a Device-Cloud Architecture","Rahul Singh, Devdeep Ray, Connor Smith, Sarita Adve","Rahul Singh — University of Illinois Urbana-Champaign
Devdeep Ray — NVIDIA
Connor Smith — NVIDIA
Sarita Adve — University of Illinois Urbana-Champaign","SemanticXR turns the space around you into a queryable semantic map. Wearing a standalone headset, you walk the room while RGB, depth, and pose stream to a server that builds an open-vocabulary 3D map organized around objects. Ask where something is, and the matching object is highlighted in your view even when it is behind you or out of sight. The vocabulary is not a fixed label set, so you can ask for objects we never anticipated, in your own words. Mapping runs on a server-class GPU, so the device spends power only on its usual sensor capture and display."
1081,9 October 2026,VocabulARy 2.0: A Generative AR System Enabling Personalised 3D Mnemonics for Vocabulary Learning in Context,"Karolina Trajkovska, Matjaž Kljun, Maheshya Weerasinghe, Klen Čopič Pucihar","Karolina Trajkovska — University of Primorska
Matjaž Kljun — University of Primorska
Maheshya Weerasinghe — University of Primorska
Klen Čopič Pucihar — University of Primorska","Mnemonics support vocabulary learning by linking unfamiliar words to familiar concepts through memorable verbal and visual associations. We present a generative-AR system that enables learners to create personalised 3D mnemonics by transforming familiar objects in their surroundings into situated mnemonic anchors. The system scans the environment, detects visible objects, and generates bilingual flashcards. After selecting a word, the learner describes a personal association. The system combines this description with a segmented image of the selected object to generate a textured 3D-model using generative-AI. Learners can then place the model relative to the real-object, transforming it into a situated mnemonic anchor."
1076,9 October 2026,XRPipe: PCVR Streaming as an OpenXR Composition Layer,"Dario Kunz, Beat Kunz","Dario Kunz
Beat Kunz — Bildungszentrum für Technik Frauenfeld","Every PCVR streamer today takes over the whole headset: starting the stream means leaving whatever you were doing. XRPipe does the opposite. Its PC side is an OpenXR runtime, its headset side is a composition layer living inside whatever standalone app is already running. Put on a Quest 3 at our table and watch a world rendered by a remote PC stand in the real room, next to local content that never stopped running, at 72 fps. Local network, landline to a remote site, or 5G: the experience stays smooth on every one."
