Session ID,Session Title,Day,Time,TimeSlot,Room,Paper ID,Paper Title,Authors,Abstract
Paper 1B2,Haptic Interaction,"Wednesday, 7 October",11:45–12:45,B,Glasshaus,1939,"Look Forward, Walk Naturally: Effects of an Extended Downward Field of View on Posture and Immersion in Virtual Stair Walking","Yusuke Arikawa, Kizashi Nakano, Keigo Matsumoto, Takuji Narumi","Avatar motion remapping enables users to experience walking on virtual stairs while physically walking on a flat surface. In stair walking, the downward vertical field of view (FOV) plays an important role in ground recognition and foot placement; however, its perceptual and behavioral effects remain poorly understood, largely due to the FOV constraints of conventional head-mounted displays (HMDs). An extended downward FOV may enhance postural naturalness by supplying peripheral visual cues, yet it could also heighten awareness of the visuo-proprioceptive mismatch inherent in avatar remapping. To address this gap, we investigated the effects of downward FOV on posture control, height perception, and applicability of virtual stair walking using an HMD with an extended downward viewing range. Our results reveal that, without an extended downward FOV, participants actively compensated by tilting their heads downward to acquire necessary visual information, yet this behavior yielded no significant differences in subjective height perception or awareness of the spatial manipulation. In contrast, providing an extended downward FOV significantly suppressed this compensatory head tilt, promoting a natural, forward-facing posture more consistent with real-world stair walking. Subjective evaluations further indicated enhanced experienced realism during ascent and greater general presence during descent. Together, these findings demonstrate that an extended downward FOV effectively fosters natural locomotion behavior and deepens immersion in virtual stair walking, highlighting downward FOV as a key design parameter for locomotion interfaces in VR."
Paper 1B2,Haptic Interaction,"Wednesday, 7 October",11:45–12:45,B,Glasshaus,10.1109/TVCG.2026.3664327,Discrete Virtual Rotation in Pointing vs. Leaning-Directed Steering Interfaces: A Uni vs. Bimanual Perspective,Daniel Zielasko,"In this work, we explore the integration of Orientation Selection into Steering interfaces, aiming to preserve the seamless sensation of real-world movement while mitigating the risk of inducing cybersickness. Our implementation encounters conflicts in standard input mappings, prompting us to adopt bimanual interaction as a solution. Recognizing the complexity of interaction that may arise from this step, we also develop unimanual alternatives, e.g., utilizing a Human-Joystick, commonly referred to as a Leaning interface. The outcomes of an empirical study centered around a primed search task yield unexpected findings. We observed a sample of users spanning multiple levels of gaming experience and a balanced gender distribution exhibit no significant difficulties with the bimanual, asymmetric interfaces. Remarkably, the performance of Orientation Selection is, as in prior work, at least on par with Snap Rotation. Moreover, through a subsequent exploratory analysis, we uncover indications that Pointing-Directed Steering outperforms embodied interfaces in usability and task load in the given setting."
Paper 1B3,Avatar Identity,"Wednesday, 7 October",11:45–12:45,B,Sezione 2,1011,The Impact of Point-Cloud Rendering on User Perceptions of Human- and AI-Controlled Avatar Embodiment,"Tianyu Song, Baran Gürsoy, Felix Pabst, Ulrich Eck, Nassir Navab","Avatars for social VR are increasingly driven by imperfect tracking or AI-generated motion, where mismatches between appearance fidelity and behavioral realism can harm user perception. We investigate whether a simulated point-cloud rendering (PCR) can improve social perception and increase tolerance to motion artifacts compared to standard shaded mesh rendering. 
We present a real-time VR avatar system that supports (i) a streaming conversational loop, (ii) human-controlled embodiment via hybrid tracking using a head-mounted display for upper body and an external camera for lower body and root motion, and (iii) AI-controlled embodiment via context-aware selection from an offline-generated animation library. 
We evaluate a 2x2x2 within-subjects study crossing rendering style (PCR vs. mesh) and control source (human vs. AI) across two sequential scenarios: a conversation-focused desk interaction and a movement-focused guided exercise. We measure social presence, human-likeness and affinity, and appearance–behavior plausibility, and collect post-study rendering-style preference rankings. Our results show that PCR significantly improves perceived human-likeness and plausibility, with particularly strong benefits for AI-controlled avatars. Crucially, PCR successfully closed the plausibility gap between human and AI avatars during high-movement interactions, acting as a perceptual buffer against motion artifacts. While social presence was driven by the interaction scenario rather than rendering style, post-study rankings revealed a trade-off between perceptual coherence and visual comfort."
Paper 1B3,Avatar Identity,"Wednesday, 7 October",11:45–12:45,B,Sezione 2,1078,"When Avatars Get Under the Skin: Exploring Relationships between Neuroticism, Avatar Perceptual Features and Physiological Responses across Emotional Virtual Environments","Tarini Sehgal, Daniel Ledger, Crescent Jicol, Michael Proulx, Christof Lutteroth, Eamonn O'Neill, Anca Salagean","Embodied photorealistic avatars are increasingly used in emotionally rich and diverse virtual reality (VR) applications due to their perceptual benefits. However, it is unclear how specific avatar perceptual features (APFs) and individual differences may relate to user physiology across different emotional virtual environments (VEs). In a within-participants study, we investigated the relationship between user neuroticism, APFs and physiological metrics, measured across four emotion VEs systematically manipulating emotional valence and arousal (N=51). Users embodied photorealistic personalised avatars (i.e., mirroring their appearance) and generic gender-matched avatars. We demonstrate that individual APFs have distinct relationships with user physiology, which are generally multiplied and reversed by higher user neuroticism. Moreover, APFs such as familiarity, appeal, appearance similarity and perceived realism can support emotional regulation by increasing heart rate variability (HRV) for higher neuroticism individuals. Overall, our findings highlight how avatar design can be strategically leveraged to optimise affective outcomes across diverse VR contexts."
Paper 1B3,Avatar Identity,"Wednesday, 7 October",11:45–12:45,B,Sezione 2,1090,Doppelgänger with Character: Effects of Self-similarity and Persona Valence on VR Conversation,"Siqi Guo, Fengze Zhang, Christos Mousas","Personalized, doppelgänger-like virtual agents may increase social realism, yet it remains unclear how users calibrate their perceptions and responses when an agent both resembles them and conveys distinct persona traits. In a 2 x 2 within-group study (N = 24), we examined how multimodal self-similarity and persona valence jointly affect study participants during open-ended conversations with an embodied virtual agent. After each condition, participants reported measures of perceived identity and persona, relational and social experiences, and affective responses; we also extracted conversational behavior from logged data, including word and turn counts and awareness-probing questions. We found that self-similarity increased perceived self-similarity, rapport, and emotional reactivity, while trust showed a valence x similarity interaction. Persona valence produced stronger overall shifts. Positive valence increased perceived agent persona, trust, co-presence, rapport, and willingness for future interaction, whereas negative valence increased emotional reactivity and elicited more words, turns, and awareness-probing questions. These findings clarify how resemblance and persona valence jointly shape user perceptions and interactions with embodied conversational agents and inform the design of self-similar virtual agents."
Paper 1B3,Avatar Identity,"Wednesday, 7 October",11:45–12:45,B,Sezione 2,2031,Shape-shifter avatar: How to embody a constantly-changing virtual body?,"Shuto Takashita, Ferran Argelaguet Sanz, Anatole Lécuyer, Masahiko Inami","While virtual reality allows users to embody diverse non-human avatars, continuous body transformation such as growing new limbs or reshaping the body remains largely unexplored. We present a shape-shifter avatar based on metaball based implicit surfaces and examine how control mapping design and prior character knowledge influence embodiment, usability, cybersickness, preference, and plausibility.
In a study with 24 participants, we compared three control mappings, Button, Task-Oriented, and Full-Control, across two tasks: extending a tentacle to reach objects and changing body height to search for keys. Prior knowledge was manipulated between participants using animations in which the character either transformed its body or remained in its default form.
The Full-Control condition achieved the highest embodiment, plausibility, and preference. The Task-Oriented condition produced higher embodiment than button input by using task relevant body movements as triggers. Prior knowledge increased plausibility related to appearance and world fit, but did not affect evaluations of control correspondence or embodiment. Based on these findings, we discuss interaction design for shape-shifter avatars."
Paper 1A2,Crowd Interaction,"Wednesday, 7 October",11:15–12:15,A,Sezione 4+5,1902,Who Feels the Crowd? Predicting Individual Cognitive Load Sensitivity to Virtual Crowds,"Fatema Rahimi, Jalal Safari Bazargani, Abolghasem Sadeghi-Niaraki, Soo-Mi Choi","Virtual crowd simulations underpin applications from social VR to exposure therapy, yet their design rarely accounts for wide individual variation in crowd-induced cognitive demands. We investigated which virtual crowd characteristics impose the greatest cognitive load and whether distinct individual profiles predict differential vulnerability. Fifty-four participants completed a dual-task paradigm (spatial navigation + auditory 2-back) across 13 conditions in a 2×2×3 within-subjects factorial design manipulating
crowd density (sparse vs. dense), gaze behavior (neutral vs. evaluative staring), and movement pattern (static, unidirectional, bidirectional), plus a no-crowd baseline. Crowd presence impaired 2-back accuracy by 11.8% and elevated physiological arousal relative to baseline. Among crowd factors, evaluative gaze emerged as the
dominant cognitive load driver, with a significant three-way interaction revealing synergistic impairment when density and socialevaluative scrutiny converged in dynamic configurations. Latent profile analysis of 12 indicators across trait psychology, baseline physiology, and crowd reactivity identified four distinct sensitivity
phenotypes: Highly Sensitive (22%), Moderately Sensitive (28%), Stable/Adaptive (28%), and Resilient (22%), each showing qualitatively different vulnerability patterns. A nested cross-validation pipeline using pre-exposure markers classified profile membership with 91.6% accuracy, demonstrating that individual crowd sensitivity is predictable before any VR exposure, enabling adaptive systems to personalize crowd parameters to individual tolerance thresholds."
Paper 1A2,Crowd Interaction,"Wednesday, 7 October",11:15–12:15,A,Sezione 4+5,1909,Asymmetric Interaction in VR Game Live Streaming: Effects of Identity and Device on Audience Experience and Collaborative Efficiency,"Chong Cao, Zhaoyi He","Virtual Reality (VR) game live streaming has emerged as a fast-growing interactive entertainment format, yet the asymmetric interaction between streamers and audiences remains an under-explored core challenge. Grounded in asymmetric interaction theory, this study systematically examines how two core dimensions of asymmetric interaction—interaction capability asymmetry and device asymmetry —shape audience experience and collaborative efficiency in VR game live streaming. We conducted a 2×2 within-subjects experiment. Results show that: (1) Participant identity (higher interaction capability) significantly improves all dimensions of audience experience and collaborative efficiency; (2) VR device significantly enhances player experience, user behavior intention, and especially social presence; (3) Significant interaction effects exist between identity and device on player experience and social presence, with the Participant-VR condition yielding the optimal experience and highest efficiency. This work extends asymmetric interaction theory to the emerging VR live streaming context, provides empirical evidence for the mechanism of multi-dimensional asymmetric interaction, and offers actionable design guidelines for VR live streaming platforms, game developers, and content creators."
Paper 1A2,Crowd Interaction,"Wednesday, 7 October",11:15–12:15,A,Sezione 4+5,1928,NPCRadar: NPC-Centered VR Multi-User Crowd Forecasting,"Yuan Yu, Chunlei Xu, Jiayi Wu, Yu Cao, Boon Giin Lee","Multi-user virtual reality (VR) enables immersive entertainment experiences in which multiple users share a virtual space and continuously influence one another through their movements and interactions. These crowd-state changes directly affect how non-player characters (NPCs) should respond, yet existing VR behavior understanding research mainly focuses on individual-level modeling. To address this gap, we introduce the task of NPC-centered crowd forecasting in multi-user VR, which aims to predict future crowd states relative to the NPC over a short time horizon. We represent crowd states with three complementary dimensions: Flow, Density and Intent. Based on this formulation, we propose CrowdRadar, establishing a complete pipeline from historical multi-user behavior observation to group-level future-state prediction. By extending VR behavior understanding from individual behavior modeling to crowd-level forecasting, our work provides a structured basis for proactive NPC control and supports more intelligent, natural, and socially aware interaction in multi-user VR systems."
Paper 1A2,Crowd Interaction,"Wednesday, 7 October",11:15–12:15,A,Sezione 4+5,1969,Psychophysiological Effects of Violent and Non-Violent Crowd Behavior Simulation in Immersive and Non-Immersive VR,"Massimiliano Pascoli, Fabio Buttussi, Luca Chittaro","Understanding human reactions to violent incidents involving crowds is crucial for crowd management, evacuation, and emergency response. Unfortunately, studies involving real-world simulation of such scenarios are often infeasible due to ethical, practical, and safety constraints. Virtual Reality (VR) is increasingly used to provide controlled simulation of such scenarios while preserving a degree of ecological validity. This work investigates how violent crowd behavior is experienced in immersive VR (iVR) and non-immersive VR (niVR). We conducted a user study with 74 participants in a virtual train station, manipulating crowd behavior (violent vs. non-violent) and VR technology (iVR vs. niVR). We collected self-reported measures about affect, sense of presence, social presence, and perceived realism of the crowd. Moreover, we recorded physiological indicators of stress and arousal (heart rate variability and electrodermal activity). Results showed that violent crowd behavior induced more negative emotional valence and lower perceived realism and sense of presence compared to non-violent crowd behavior, regardless of VR technology. The effect of VR technology was significant for arousal, user involvement, and stress, as reflected in heart rate variability metrics (SDNN, HF, RMSSD). Overall, this work shows that despite niVR being sufficient to elicit self-reported emotional responses to violent crowd behavior, only iVR can also trigger physiological emotional responses, which could be relevant in many VR applications such as crowd management training systems."
Paper 1A3,Finger Touch Input,"Wednesday, 7 October",11:15–12:15,A,Sezione 1,1370,One Finger Warrior: Thumb-to-Index Finger Interaction Technique for Mobile Use,"Omang Baheti, Shariff Faleel, Rishav Banerjee, Pourang Irani, Khalad Hasan","As Head-Mounted Displays (HMDs) become increasingly prevalent, designing User Interfaces (UIs) for quick, on-the-go access is essential. We introduce One Finger Warrior, a thumb-to-index finger interaction technique that enables mobile input on HMDs. The technique segments the index finger into six zones: three on each phalanx of the volar (front) and radial (top) sides. Taps and swipes between these zones allow for a high-density input vocabulary. We examine how different mobility conditions affect interaction speed, accuracy, and comfort, and find that they do not impact user performance in One Finger Warrior. Based on this, we design a text-entry application and evaluate its performance envelope by comparing two layout configurations: Optimized and Sub-Optimal. We use a text-entry task as it provides a standardized and cognitively demanding rapid target-selection task that helps characterize the performance envelope of the technique. The performance of both layouts was evaluated under varying mobility conditions. Results show that mobility has no significant impact on performance, with users achieving text entry speeds of 8.31 WPM on the Sub-Optimal layout and 12.05 WPM on the Optimized layout, demonstrating One Finger Warrior’s effectiveness for on-the-go input. We present a set of applications that demonstrate One Finger Warrior’s ability to enable mobile input on HMDs."
Paper 1A3,Finger Touch Input,"Wednesday, 7 October",11:15–12:15,A,Sezione 1,1680,GeoCtrl: Finger-based Geometric Mapping and Speed-Adaptive Gain for In-Hand Object Rotation in AR/VR,"Seo Young Oh, Taejun Son, Juyoung Lee, Sang Ho Yoon, Woontack Woo","We propose a geometry-based virtual object rotation technique that leverages triangular configuration of fingertips and a speed-responsive Control-Display (CD) gain. Rather than replicating real-world physics which often lead to unnatural mid-air behavior in the absence of physical feedback, we leverage finger-level geometry to enable more intuitive object rotation. We map the orientation and morphology of a triangle formed around fingertips directly to the object's rotation, assuming that users tend to trace the object's intended motion when physical constraints are missing. To enhance the proposed interaction and accommodate natural motor limits, we implement an adaptive CD gain that scales geometric input according to the fingertip movement speed. A user evaluation revealed that our method significantly reduces task completion time compared to physics-based rotation and physical demand compared to both reference conditions, without increasing overall workload. We demonstrate that geometry-driven mapping and dynamic gain adaptation enable more efficient dexterous manipulation of virtual objects in immersive environments."
Paper 1A3,Finger Touch Input,"Wednesday, 7 October",11:15–12:15,A,Sezione 1,1722,Effects of Spatial Constraint on Bare-Hand Logographic Character Handwriting Performance in Virtual Reality,"Xinru Cheng, Yining Zhang, Yushi Wei, Rui Jiang, Preben Hansen, Hai-Ning Liang","Spatial constraints significantly influence motor performance in virtual reality (VR), as interactions often involve hands hovering in mid-air. Yet their specific impact on logographic handwriting, such as Chinese and similar characters, remains underexplored. While VR text entry research is predominantly alphabetic-centric, especially English, handwriting support for complex scripts is fragmented across systems that treat physical or virtual guidance as implementation details rather than analytical or design variables. To address this, we compare three spatial constraint form as a distinct interaction design variable under a unified input pipeline: Unconstrained Mid-Air, Virtual Collision Surfaces, and Anchored Physical Surfaces. In a 3 × 3 within-subjects study (N = 24) with users writing Chinese characters of various complexity, we identified a critical stability-efficiency trade-off. While constrained conditions (virtual and physical) reduced trajectory length and rewrite counts, they increased normalized writing and total input time compared to mid-air input. Subjectively, users rated Unconstrained Mid-Air as more usable, whereas Anchored Physical Surfaces uniquely mitigated posture-maintenance workload without sacrificing stabilization benefits. We also contribute design implications on when freer mid-air input may be preferable and when planar or physically supported writing may be more beneficial in VR handwriting."
Paper 1A3,Finger Touch Input,"Wednesday, 7 October",11:15–12:15,A,Sezione 1,1818,Tactile Search: Enhancing Targeting in 3D Space,"Amber Maimon, Iddo Wald, Jonas Keppel, Eunhee Chang, Yoshifumi Kitamura, Stefan Schneegass, Rainer Malaka, Donald Degraen","Visual search is crucial in daily life, from scanning for relevant information to spotting signs of danger. When sensory channels are overloaded or degraded, cognitive tasks can be supported by crossmodal information representations through vibrotactile cues. We introduce Tactile Search, an approach that uses modulation of frequency and amplitude of vibrations to the hands, for guiding attention to the location of objects in 3D space. We evaluated this approach in a competitive VR game where participants searched for targets using both vision and touch. Across two studies -- an in-the-wild demonstration (n=55) and a controlled laboratory experiment (n=28) -- we found that vibrotactile feedback significantly improved performance and increased user confidence. Frequency modulation supported vertical targeting by leveling performance across target heights. We further analyzed participants' subjective experiences and search strategies highlighting the benefits of the tactile cues. Our findings establish Tactile Search as an effective means of enhancing interaction and provide design considerations for integrating haptic search into interactive systems."
