Poster ID,Poster Title,Poster Authors
D1-15,"Mirror, Mirror on the Wall: A New Teleportation Method for Us All","Yukang Ou (Singapore Institute of Technology), Benjamin WJ Kwok (Singapore Institute of Technology), Jeannie S.A. Lee (Singapore Institute of Technology), Kan Chen (Singapore Institute of Technology)"
D1-16,A Hand-Gesture-Free Natural User Interface Using 3D Manipulator Widgets for Mixed Reality Surgical Applications,"Kwangtai Kim (Seoul National University Hospital/Seoul National University), Yejin Yoon (Seoul National University Hospital), Seungho Lee (Seoul National University Hospital), Kyu Eun Lee (Seoul National University Hospital), Hyoun-Joong Kong (Seoul National University Hospital/Seoul National University)"
D1-17,Movement-Driven Interaction with a Virtual Pet: A Rehabilitation Prototype for Bedridden Patients,"Soi Choi (Sogang University), Donghyung Kang (Sogang University), Mingi Kim (Sogang University), Seonjae Oh (Sogang University), Jean Ho Chu Chu (Sogang University)"
D1-18,Region-Guided Interactive Docent for Paintings in Mixed Reality,"Yoonseok Shin (Korea Advanced Institute of Science and Technology), Minju Baeck (Korea Advanced Institute of Science and Technology), Woontack Woo (Korea Advanced Institute of Science and Technology)"
D1-19,Immersive Blue Spaces: Developing a Mixed Reality Ocean Encounter to Improve Wellbeing in Adolescents and Young Adults,Nina Fern (Massey University)
D1-20,Influence of a Visual Cue and Agency on the Ventriloquism Effect for a Projected Extended Hand,"Ao Ishikawa (University of Osaka), Yushi Sato (University of Osaka), Kosuke Sato (Otemon Gakuin University), Daisuke Iwai (University of Osaka)"
D1-21,“When You Are the Plant”: Encouraging Hydration Through Playful Virtual Reality Embodiment,"Yuchen Zheng (Monash University), Ashlyn Doyle (Monash University), Hongyue Wang (Monash University), Jialin Deng (University of Bristol), Don Samitha Elvitigala (Monash University), Florian Floyd Mueller (Monash University)"
D1-22,MRLingo: A Mixed Reality Approach for Situated Vocabulary Learning,"Ziad Khaled Naif Abdelazeiz Elshereif (University of Stuttgart), Busra Balaban (University of Stuttgart), Shehabeldin Amgad Abdelghany Solyman (University of Stuttgart), Michael Sedlmair (University of Stuttgart), Carlos Quijano-Chavez (University of Stuttgart)"
D1-23,Adaptive Augmented Reality Pathfinding for Parkinson’s Disease: Integrating Visual Cueing with User-Directed Navigation,"Dimah Bassal (Institut Polytechnique de Paris), Daniel Medeiros (Telecom Paris/Institut Polytechnique de Paris)"
D1-24,Isolating Haptic Feedback from Visual Feedback Using Mixed Reality Technology: A Case Study on Serial Dependence Experiment,"Jessica Bertolasi (Istituto Italiano di Tecnologia), Nadia Vanessa (Center for Research and Advanced Studies of Mexico), Garcia Hernandez (National council of Science Humanities and Technology), Emanuele Caroglio (Istituto Italiano di Tecnologia), Stefania Petri (Istituto Italiano di Tecnologia), Monica Gori (Istituto Italiano di Tecnologia)"
D1-25,"Guiding, Not Deciding: User Preferences in AI-Assisted Roles","Ze Dong (University of Canterbury), Binyang Han (University of Canterbury), Jingjing Zhang (University of Canterbury), Kazuyuki Fujita (Tohoku University), Robert W. Lindeman (University of Canterbury), Barrett Ens (University of British Columbia), Adrian James Clark (University of Canterbury), Thammathip Piumsomboon (University of Canterbury)"
D1-26,Sequential Context Engineering for Zero-Shot Recognition of Procedural Tasks in Egocentric AR,"Junhyeok Park (Korea Advanced Institute of Science and Technology), Woontack Woo (Korea Advanced Institute of Science and Technology)"
D1-27,User Experience in Task Guidance: Comparing Mixed Reality Devices with Traditional Vision-Based Systems,"Joanna Sorysz (German Research Center for Artificial Intelligence), Najy Fannoun (German Research Center for Artificial Intelligence), Jakob Karolus (German Research Center for Artificial Intelligence), Bo Zhou (German Research Center for Artificial Intelligence), Sungho Suh (Korea University), Paul Lukowicz (German Research Center for Artificial Intelligence)"
D1-28,Exploring Interface Design of Translation System for Enhanced Immersion and Usability in Mixed Reality,"Jiyeon Oh (Seoul National University of Science and Technology), Jin-Woo Jeong (Seoul National University of Science and Technology)"
D1-29,A LiDAR-to-VR Pipeline for Environmental Simulation,"Kimia Naeiji (New Jersey Institute of Technology), Erica Butts (New Jersey Institute of Technology), Dahlia Musa (New Jersey Institute of Technology), Ahmad Ibrahim (New Jersey Institute of Technology), Abdul Razzak Doughan (New Jersey Institute of Technology), Viravid Na Nagara (New Jersey Institute of Technology), Michel Boufadel (New Jersey Institute of Technology), Salam Daher (New Jersey Institute of Technology)"
D1-30,Human-Aware Inpainting for 3D Gaussian Splatting in Dynamic Scenes,"Pei-Ru Liao (National Tsing Hua University), Norihiko Kawai (Osaka Institute of Technology)"
D1-31,DoodleSnap: Enhancing Photography for Blind and Visually Impaired Users Through 3D Pen Interactions,"Dakyeong Yoon (University of Ulsan), Seoyeon Hwang (University of Ulsan), Donghyeon Ko (University of Ulsan)"
D1-32,Automatic Image Translation of Long Ancient Egyptian Texts for Augmented Reality Applications,"Innokentiy Humonen (Artificial Intelligence Research Institute ), Maksim Golyadkin (Artificial Intelligence Research Institute ), Danil Kalin (ITMO University), Ilya Makarov (Artificial Intelligence Research Institute/ITMO University)"
D1-33,Towards Optimal Camera Placement in AR/VR Headsets for Tool Tracking,"Victor Quesada Conejero (University of Córdoba/Seabery R&D), Pablo Soriano Tapia (Seabery R&D), Arturo Torres Gonzalez (Seabery R&D), Sergio Garrido-Jurado (Seabery R&D)"
D1-34,Hierarchical Localization and Tracking for In-Vehicle Mixed Reality,"Daisuke Goto (Keio University), Sungmin Lee (Yonsei University), Akira Tsuge (Tsuge IT Design Office), Shuri Marui (Keio University), Soko Aoki (Kadinche), Jeong Gil Ko ( Yonsei University), Tadashi Okoshi (Keio University)"
D1-35,LUFA: Lightweight Upper-Face Animation for VR/MR Avatars,"Hwang Youn Kim (Korea National University of Science and Technology), Ghazanfar Ali (Korea Institute of Science and Technology), Jae-In Hwang (Korea Institute of Science and Technology)"
D1-36,Avatar Manipulation via Image-Based Recognition of Hand and Finger Pressing Motion on a Deformable Dome Surface,"Haruto Konishi (University of Osaka), Kosuke Sato (Otemon Gakuin University), Daisuke Iwai (University of Osaka)"
D1-37,Eliminating the Distance-Precision Trade-off in Distant Object Placement and Manipulation in Virtual Reality,"Jalal Safari Bazargani (Sejong University), Abolghasem Sadeghi-Niaraki (Sejong University), Soo-Mi Choi (Sejong University)"
D1-38,I-MOR: Intention-Driven Motion Overriding for Realistic Authoring,"Joungjun Kim (Chung-Ang University), Wonjin Hong (Chung-Ang University), Jin Kim (Chung-Ang University), Youngho Chai (Chung-Ang University)"
D1-39,Exploring the Agency in VR Co-embodiment Rehabilitation Based on First - and Third - Person Perspectives,"Yijun Zhou (Chongqing Vocational and Technical University of Mechatronics), Shuling Sun (Changzhou Vocational Institute of Mechatronic Technology), Jingjing Zhang (Picto AITech), Xinyue Luo (Liuzhou Workers’ Hospital)"
D1-40,Point Cloud Simplification Using Curvature-Weighted Farthest Point Sampling,"Dae-Won Kim (Electronics and Telecommunications Research Institute), Man Hee Lee (Electronics and Telecommunications Research Institute)"
D1-41,A Work-in-Progress Study on Effect of Post-Operation Visual Feedback on Perceived Pleasantness During Membrane Penetration with Force Feedback,"Yusuke Ujitoko (NTT), Yuki Ban (University of Tokyo)"
D1-42,Best Practices on Indirective Experience for Virtual Healing,"Minjung Ro (Hongik University), Seungyeon Lee (Hongik University), Jimin Yim (Hongik University), Chaeyoung Lee (Hongik University), Chaeyun Seo (Hongik University), Janghwan Kim (Hongik University), Jihoon Kong (Hongik University), SungHee Ahn (Hongik University), Young Chul Kim (Hongik University)"
D1-43,Going and Returning: Lakota Travel Verbs in Virtual Reality,"Milan Wolff (University of Wyoming), Jessica Fae Nelson (University of Wyoming), Jessica Fae Nelson (University of Wyoming), Amy Banic (University of Wyoming)"
D1-44,Where to Look? VR Gaze-Based Analysis in Adverse Weather Driving,"Junsik Bang (Kyung Hee University), Uijong Ju (Kyung Hee University)"
D1-45,GenLinguaScape: Enabling User-Defined VR Scenarios for Communicative Language Practice,"Ruoyu Wen (University of Canterbury), Qiaomin Li (Shanghai International Studies University), Wei Pu (University of Hong Kong), Rui Mu (Anqing Normal University), Alaeddin Nassani (University of Auckland), Simon Hoermann (University of Canterbury), Mark Billinghurst (University of South Australia), Thammathip Piumsomboon (University of Canterbury)"
D1-46,[Doctoral Consortium] Visual Perception Modification via Visual Cue in Immersive Virtual Reality,DongHoon Kim (Utah State University)
D1-47,[Doctoral Consortium] Augmented Reality as a Medium for Pattern-Making Education in Apparel Design,Doyeon Kong (Cornell University)
D1-48,[Doctoral Consortium] Immersive Collaboration in Mixed Reality: Enabling Dyadic Decision-Making in B2C Product Configuration,Fabio Vangi (Polytechnic University of Bari)
D1-49,[Doctoral Consortium] Thinking Outside the Eyebox: Evaluation of Perceptual Effects Deriving from Pupil Swim Distortions in Head-Mounted Displays,Hunter Finney (University of Utah)
D1-50,[Doctoral Consortium] Modeling Social Cognition with Nonverbal Dynamics in Virtual Reality,Hyunchul Kim (Korea Advanced Institute of Science and Technology)
D1-51,[TVCG Journal] LiteAT: A Data-Lightweight and User-Adaptive VR Telepresence System for Remote Education,"Yuxin Shen (Beijing Institute of Technology), Wei Liang (Beijing Institute of Technology), Jianzhu Ma (Tsinghua University)"
D1-52,[TVCG Journal] Negotiated User-to-Group Teleportations in Social VR,"Wentong Shu (Beihang University), Yi-Jun Li (Tsinghua University), Haozhong Yang (Beihang University), Zinan Han (Beihang University), Frank Steinicke (Universität Hamburg), Miao Wang (Beihang University)"
D1-53,[TVCG Journal] MR-CoCo: An Open Mixed Reality Testbed for Co-located Couple Product Configuration and Decision-Making – A Sailboat Case Study,"Fabio Vangi (Polytechnic University of Bari), Daniel Medeiros (Telecom Paris/Institut Polytechnique de Paris), Mine Dastan (Polytechnic University of Bari), Michele Fiorentino (Polytechnic Institute of Bari)"
D1-54,[TVCG Journal] Detecting Visual Information Manipulation Attacks in Augmented Reality: A Multimodal Semantic Reasoning Approach,"Yanming Xiu (Duke University), Maria Gorlatova (Duke University)"
D1-55,"[TVCG Journal] Ada: A Distributed, Power-Aware, Real-Time Scene Provider for XR","Yihan Pang (University of Illinois Urbana-Champaign), Sushant Kondguli (Meta), Shenlong Wang (University of Illinois Urbana-Champaign), Sarita Adve (University of Illinois Urbana-Champaign)"
D1-56,[TVCG Journal] How Do We Read Texts in VR?: The Effects of Text Segment Quantity and Social Distraction on Text Readability in Virtual Museum Contexts,"Jungmin Lee (Korea Advanced Institute of Science and Technology), Hyuckjin Jang (Korea Advanced Institute of Science and Technology), Jeongmi Lee (Korea Advanced Institute of Science and Technology)"
D1-57,[TVCG Journal] EgoTrigger: Toward Audio-Driven Image Capture for Human Memory Enhancement in All-Day Energy-Efficient Smart Glasses,"Akshay Paruchuri (University of North Carolina at Chapel Hill), Sinan Hersek (Google), Lavisha Aggarwal (Google), Qiao Yang (Google), Xin Liu (Google), Achin Kulshrestha (Google), Andrea Colaço (Google), Henry Fuchs (University of North Carolina at Chapel Hill), Ishan Chatterjee (Google)"
D1-58,[TVCG Journal] Selection at a Distance Through a Large Transparent Touch Screen,"Sebastian Rigling (University of Stuttgart), Steffen Koch (University of Stuttgart), Dieter Schmalstieg (University of Stuttgart), Bruce H. Thomas (University of South Australia), Michael Sedlmair (University of Stuttgart)"
D1-59,[TVCG Journal] WarpVision: Using Spatial Curvature to Guide Attention in Virtual Reality,"Jérôme Kudnick (DCSM), Martin Weier (RheinMain University of Applied Sciences), Colin Groth (Max Planck Institute for Informatics), Biying Fu (RheinMain University of Applied Sciences), Robin Horst (RheinMain University of Applied Sciences)"
D1-60,"[TVCG Journal] Experiencing Immersive Virtual Nature for Well-Being, Restoration, Performance, and Nature Connectedness: A Scoping Review","Jeewoo Kim (University of Calgary), Svara Patel (University of Calgary), Hyeongil Nam (University of Calgary), Janghee Cho (National University of Singapore), Kangsoo Kim (University of Calgary)"
D2-1,FloatMind: AI-Driven Emotional Engagement for Gamified Meditation in Mixed Reality,"Liuchuan Yu (George Mason University), Shuqi Liao (Purdue University), Yan Zeng (Stuart Weitzman School of Design), Tingting Luo (Virginia Polytechnic Institute and State University), Zihan Li (University of Pennsylvania)"
D2-2,Coordinate System Anchoring for Enhancement of 3D Gaussian Splatting in VR Environments,"Sangheon Park (Electronics and Telecommunications Research Institute), Byunggyu Lee (Electronics and Telecommunications Research Institute), Sung-Uk Jung (Electronics and Telecommunications Research Institute), Sangyoun Lee (Electronics and Telecommunications Research Institute)"
D2-3,Repeatable AR Sessions with Radiance Field Support,"Christian Kunert (Ilmenau University of Technology), Tobias Schwandt (Ilmenau University of Technology), Andy Schleising (Ilmenau University of Technology), Wolfgang Broll (Ilmenau University of Technology)"
D2-4,Augmented Reality Interface for Safer Cyclist Interaction with Parked Autonomous Vehicles Pulling Out from Kerb,"Tomáš Macháč (University of West Bohemia), Petr Horejsi (University of West Bohemia), Stephen Anthony Brewster (University of Glasgow)"
D2-5,Physiological Stress Signal Validation Across Desktop and Immersive VR Using the Stroop Task,"Nicholas P Fisher (University of Louisiana at Lafayette), Blake A Hargrave (University of Louisiana at Lafayette), Arun K Kulshreshth (University of Louisiana at Lafayette)"
D2-6,A Macro-to-Micro Control Approach to Balance User Agency and Automation for Mobile AI-assisted Writing on Smart Glasses,"Chen Zhou (National University of Singapore), Wei Tsang Ooi (National University of Singapore), Shengdong Zhao (City University of Hong Kong)"
D2-7,Effects of Owning Gender-Mixed Avatar on Gender Identity and Roles,"Ryota Kondo (University of Tokyo), Maki Sugimoto (Keio University)"
D2-8,Real-Time Feedback System for Body Tilt in Archery Shooting,"Natsuki Kinoshita (University of Osaka), Shizuka Shirai (University of Osaka), Masato Kobayashi (University of Osaka), Naoya Chiba (University of Osaka), Yuki Uranishi (University of Osaka)"
D2-9,Predicting Cybersickness Susceptibility from Gaze Behavior,"Aisha Zahir (Northeastern University), Brady Li (Northeastern University), Wallace Santos Lages (Northeastern University)"
D2-10,Fostering Critical Thinking through Ethical Dilemmas in Virtual Reality: An Interactive Prototype with 3D Generative Agents,"Diego Julián Santos Méndez (UNAD), Margarita María Pineda Romero (UNAD), Dario José Delgado Quintero (UNAD)"
D2-11,From Informing to Instructing: The Impact of AI-driven Visualisation on Decision-Making in Extended Reality,"Ze Dong (University of Canterbury), Binyang Han (University of Canterbury), Jingjing Zhang (University of Canterbury), Barrett Ens (University of British Columbia), Adrian James Clark (University of Canterbury), Thammathip Piumsomboon (University of Canterbury)"
D2-12,Can Smell Guide You Home? Evaluating Olfactory Cues in VR Navigation,"So-Hui Kim (Hallym University), Dongyun Han (Utah State University), Junho Kim (Hallym University), Sun-Jeong Kim (Hallym University), Isaac Cho (Utah State University)"
D2-13,Driving Through Pixels: Evaluating Birdbath Optics Display for Video Pass-Through Driving,"Hiroshi Yasuda (Toyota Research Institute), Sheryl Chau (Toyota Research Institute), Srijan Srivatsa (Toyota Research Institute), Tiffany L. Chen (Toyota Research Institute)"
D2-14,Design and Implementation of an Augmented Reality Tangible Game Utilizing Everyday Objects as In-Game Items,"Haruka Urushizaka (Saitama University), Taishi Iriyama (Saitama University), Takashi Komuro (Saitama University)"
D2-15,ARGESH: A scaffolded System for Interactive Geometry Learning in AR,"Jalal Safari Bazargani (Sejong University), Seyyed Rasoul Mousavi (Sejong University), Abolghasem Sadeghi-Niaraki (Sejong University), Soo-Mi Choi (Sejong University)"
D2-16,GenLARP: Enabling Immersive Live Action Role-Play through LLM-Generated Worlds and Characters,"Yichen Yu (North Carolina State University/Georgia Institute of Technology), Yifan Jiang (Georgia Institute of Technology), Mandy Lui (University of Rochester), Qiao Jin (University of Rochester)"
D2-17,Portals and Perspectives: A Study Design for Evaluating Transitional Spaces in Virtual Navigation,"Hilal Khalife (Trier University), Daniel Zielasko (Trier University/Germany Technical University of Denmark), Benjamin Weyers (Trier University)"
D2-18,Which Tile Should I Discard?: Supporting Beginners in Mahjong by Presenting Recommended Discards in Mixed Reality,"Jun Kojima (University of Osaka), Shizuka Shirai (University of Osaka), Naoya Chiba (University of Osaka), Yuki Uranishi (University of Osaka)"
D2-19,Transforming Reminiscence Therapy: Designing An Adaptive VR System based on Older Adults??Emotional Connections and Narrative Patterns,"Ruitong CHE (Hong Kong Polytechnic University), Jiaan Li (Hong Kong Polytechnic University), Hailiang Wang (Hong Kong Polytechnic University)"
D2-20,Enhancing Joy with AR Glasses: Intergenerational Engagement for Older Adults and Youth,"Chorong Park (University of Houston), Pedro Acevedo (University of North Carolina Wilmington)"
D2-21,Synthetic Hand Dataset Generation: Multi-View Rendering and Annotation with Blender,"Anna Jansen (University Hospital Bonn), Nikita Morev (University Hospital Bonn), Melissa Steininger (University Hospital Bonn), Johannes Mullers (University Hospital Bonn), Bjorn Kruger (University Hospital Bonn/University of Bonn)"
D2-22,HickStudyVR: A Hick’s Law-Based Information Processing Speed Test in VR for Large Choice Sets,"JunHa Choe (Kangwon National University), Hyeeun Cho (Kangwon National University), Haejun Kim (Korea Advanced Institute of Science and Technology), Woojoo Kim (Kangwon National University)"
D2-23,Multisensory Enhancement of Perception Through Portals in VR,"Siyeon Bak (Hallym University), Dongyun Han (Utah State University), Inho Jo (Hallym University), Sun-Jeong Kim (Hallym University), Isaac Cho (Utah State University)"
D2-24,A Low-Latency 3D Live Remote Visualization System for Tourist Sites Integrating Dynamic and Pre-captured Static Point Clouds,"Takahiro Matsumoto (NTT), Masafumi Suzuki (NTT), Mariko Yamaguchi (NTT), Masakatsu Aoki (NTT), Shunsuke Konagai (NTT), Kazuhiko Murasaki (NTT)"
D2-25,InGenCo : Integrated In-Place 3D Scenario Generation and Collaboration,"Raghav Mittal (TCS Research), Lokender Tiwari (TCS Research), Satyam Bhardwaj (TCS Research), Mritunjoy Halder (TCS Research), Brojeshwar Bhowmick (TCS Research)"
D2-26,Effect of Movement Velocity and Flexion Angle on Realistic Haptic Reproduction,"DongKyu Kwak (Korea Advanced Institute of Science and Technology), Hojeong Lee (Korea Advanced Institute of Science and Technology), Sang Ho Yoon (Korea Advanced Institute of Science and Technology)"
D2-27,Architectural Elements Augmentation from 2D Artworks for Spatial Experience of AR Exhibition,"Young Bin Kim (Korea Advanced Institute of Science and Technology), Suji Kang (Korea Advanced Institute of Science and Technology), Minju Baeck (Korea Advanced Institute of Science and Technology), Seonji Kim (Korea Advanced Institute of Science and Technology), Woontack Woo (Korea Advanced Institute of Science and Technology)"
D2-28,Mirror-Assisted Three Dimensional Reconstruction in the Space-Constrained Environment of a Japanese Tearoom,"Natsuki Hamanishi (Sony), Jun Rekimoto (Sony/University of Tokyo)"
D2-29,VRodoro: Designing an Ambient Time Management Tool for Productive and Healthy Work in VR,"Dang Tran-Hai (University of Ulsan), Donghyeon Ko (University of Ulsan)"
D2-30,AquARium: Augmented Reality Integration for Enhanced Tourism Experiences in a Diorama Fish Tank,"Suwon Lee (Gyeongsang National University), Hyunwoo Cho (University of South Australia), Sang-Min Choi (Gyeongsang National University)"
D2-31,Your Eyes Hold Your Mind: Gaze-Based Inference of Human Decision-Making in Conditionally Automated Driving,"Minseo Choi (Kyung Hee University), Hoe Sung Ryu (Korea University), Haechan Lee (Kyung Hee University), Uijong Ju (Kyung Hee University)"
D2-32,The Scenario Difficulty Matrix: A Diagnostic Tool for Visualizing Response Miscalibration to Objective Risk in Immersive Driving Environments,"Jiwoo Han (Electronics and Telecommunications Research Institute), Mi Chang (Electronics and Telecommunications Research Institute), Daesub Yoon (Electronics and Telecommunications Research Institute)"
D2-33,Neurological Insights into Interactive VR Learning: An EEG-Based Comparative Study,"Abhijit Patil (Indian Institute of Information Technology), Himangshu Sarma (Indian Institute of Information Technology), Annushree Bablani (Indian Institute of Information Technology)"
D2-34,Interactive Information Exploration Framework of Cultural Heritage with Generative AI,"Yeeun Lee (Korea National University of Cultural Heritage), Songie Seol (Korea National University of Cultural Heritage), Jongwook Lee (Korea National University of Cultural Heritage)"
D2-35,"Hands Off, Avatars On: Towards a Modular Approach for Real-Time Body Modification in AR","Etienne Peillard (IMT Atlantique), Titouan Aline (IMT Atlantique), Guillaume Moreau (IMT Atlantique), Aymeric Henard (IMT Atlantique)"
D2-36,LongAct: A Dataset for Motion Generation from Long-Term Multi-Action Text Descriptions,"Jeong Yeon Lee (Chung-Ang University), Soungsill Park (Chung-Ang University), Youngho Chai (Chung-Ang University)"
D2-37,MotionMGTFormer: Importance of Information Specific Mixers for Human Pose Estimation,"Junghun Yang (Korea Electronic Technology Institute), Jong Hun Lee (Korea Electronic Technology Institute), Yeonggwang Kim (Korea Electronic Technology Institute), Seungjoo Lee (Korea Electronic Technology Institute)"
D2-38,Reconstructing Reality over Time: From Drone Capture to Timelapse Gaussian Splatting,"Jaehong Kim (Inha University/Carnegie Mellon University), Srinivasan Seshan (Carnegie Mellon University), Anthony Rowe (Carnegie Mellon University)"
D2-39,Joint-wise Comparative Analysis of Relative Local Velocity in the ???몄퀗ning Man??Shuffle Dance,"Jin Kim (Chung-Ang University), Joung Jun Kim (Chung-Ang University), Youngho Chai (Chung-Ang University)"
D2-40,Performing Jongmyo Jeryeak in VR: A Rhythm Game with Pyeongyeong,"Akeem Pedro (Sogang University), Jean Ho Chu Chu (Sogang University)"
D2-41,Analysis of Head Movements in Static Scenes: A Dataset from Video Passthrough and 3D Gaussian Splatting Environments,"Andy Schleising (Ilmenau University of Technology), Christian Kunert (Ilmenau University of Technology), Tobias Schwandt (Ilmenau University of Technology), Wolfgang Broll (Ilmenau University of Technology)"
D2-42,Embracing “Lost Tracking” Events: Exploring Design Considerations for Embodied Virtual Pets in Extended Reality,"Jih Hsuan Peng (National Taipei University of Technology), Kuan-Ning Chang (National Taipei University of Technology), Jung Shen (National Taipei University of Technology), Chieh-Hsin Liu (National Taipei University of Technology), Meng-Wei Lu (National Taipei University of Technology), Ping-Hsuan Han (National Taipei University of Technology)"
D2-43,Instinctual-TF: Feel Free to Manipulate Transfer Function in Mixed Reality Environments,"Yejin Kim (Gachon University), Suhyeon Kim (Gachon University), Younhyun Jung (Gachon University)"
D2-44,RAG based AI-Agent for Contextualized Analysis of High-Density Historical Records: Application to the Annals of the Joseon Dynasty,"Jeongha Lee (Korea Institute of Science and Technology), Ghazanfar Ali (University of Science and Technology), Jae-In Hwang (Korea Institute of Science and Technology)"
D2-45,An Embrace-Type VR System for Older Adults,"Tatsuya Yamamoto (University of Osaka), Kosuke Sato (Otemon Gakuin University), Daisuke Iwai (University of Osaka)"
D2-46,[Doctoral Consortium] Investigating the Impact of Context-Aware Collision Warning Modalities on Dual-Task Performance in Immersive Environments,Nasim Ahmed (Kennesaw State University)
D2-47,"[Doctoral Consortium] eXtended Cognition: Measuring, Modeling, and Modulating Perception in XR",Sahar Niknam (University of Luxembourg)
D2-48,[Doctoral Consortium] AR in the Moment: Ethics and Impact of Real-Time Social Support Tools,Zayne Kadry (University of Glasgow)
D2-49,[Doctoral Consortium] Adaptive Medical Visualization in AR: From Volumetric Clarity to Context-Aware Interaction,Xinrui Zou (Johns Hopkins University)
D2-50,"[Doctoral Consortium] Toward Safe, Trustworthy and Realistic Augmented Reality User Experience",Yanming Xiu (Duke University)
D2-51,[TVCG Journal] The Effect of Realism on Hand Redirection in Immersive Environments,"Shuqi Liao (Purdue University), Yuqi Zhou (Purdue University), Voicu Popescu (Purdue University)"
D2-52,[TVCG Journal] Facilitating the Exploration of Linearly Aligned Objects in Controller-Free 3D Environment with Gaze and Microgestures,"Jihyeon Lee (Korea Advanced Institute of Science and Technology), Jinwook Kim (Korea Advanced Institute of Science and Technology), Jeongmi Lee (Korea Advanced Institute of Science and Technology)"
