Paper ID,Paper Title,Session Title,Session Day,Session Start Time,Session End Time,Session Location,Paper Authors
1512,MAGIC: A Method for Analyzing the Grammar of Incomplete Cues,Perception & Interaction with Hands and Cues,October 9 2025,17:30,18:30,Room 301 (Conference Hall),"Xinyu Hu, Joseph LaViola, and Ryan P. McMahan"
1370,SliVR: A 360° VR-Hub for Fast Selections in Multiple Virtual Environments,3DUI Selection & Pointing,October 10 2025,10:30,11:30,Room 201 (Grand Ballroom 1),"Kevin Linne, Sven Thomas, Jennifer Roth, and Martin Weigel"
TVCG,Revisiting Performance Models of Distal Pointing Tasks in Virtual Reality,3DUI Selection & Pointing,October 10 2025,10:30,11:30,Room 201 (Grand Ballroom 1),"Logan Lane, Feiyu Lu, Shakiba Davari, Robert J. Teather, and Doug A. Bowman"
TVCG,Magic-Tap: A Kinematics-Driven Virtual Hand Selection Technique in AR/VR,3DUI Selection & Pointing,October 10 2025,10:30,11:30,Room 201 (Grand Ballroom 1),"Ruyang Yu, Yixuan Liu, Zijian Wu, and Tao Luo"
1367,Selection at a Distance Through a Large Transparent Touch Screen,3DUI Selection & Pointing,October 10 2025,10:30,11:30,Room 201 (Grand Ballroom 1),"Sebastian Rigling, Steffen Koch, Dieter Schmalstieg, Bruce H Thomas, and Michael Sedlmair"
1255,HeadDepth: Gaze Raycasting with Head Pitch for Depth Control,3DUI: Gaze,October 9 2025,16:00,17:00,Room 202 (Grand Ballroom 2),"Haopeng Wang, Florian Weidner, Yasmeen Abdrabou, Ken Pfeuffer, and Hans Gellersen"
1313,A Study of Multimodal Pen + Gaze Interaction Techniques for Shape Point Translation in Extended Reality,3DUI: Gaze,October 9 2025,16:00,17:00,Room 202 (Grand Ballroom 2),"Uta Wagner, Jinwook Kim, Zhikun Wu, Qiushi Zhou, Mario Romero, Alessandro Iop, Tiare Feuchtner, and Ken Pfeuffer"
CGA,Design Principles and Challenges for Gaze + Pinch Interaction in XR,3DUI: Gaze,October 9 2025,16:00,17:00,Room 202 (Grand Ballroom 2),"Ken Pfeuffer, Hans Gellersen, Mar Gonzalez-Franco"
1497,Facilitating the Exploration of Linearly Aligned Objects in Controller-Free 3D Environment with Gaze and Microgestures,3DUI: Gaze,October 9 2025,16:00,17:00,Room 202 (Grand Ballroom 2),"Jihyeon Lee, Jinwook Kim, and Jeongmi Lee"
1608,When Is Self-Gaze Helpful? Examining Uni- vs Bi-directional Gaze Visualization in Collocated AR Tasks,3DUI: Gaze 2,October 10 2025,12:00,13:00,Room 201 (Grand Ballroom 1),"Daniel Alexander Delgado, Christopher J Bowers, Rodrigo Luis Calvo, and Jaime Ruiz"
1117,"Exploring Gaze Dynamics in VR Film Education: Gender, Avatar, and the Shift Between Male and Female Perspectives",3DUI: Gaze 2,October 10 2025,12:00,13:00,Room 201 (Grand Ballroom 1),"Zheng Wei, Jia Sun, Junxiang LIAO, Lik-Hang Lee, Pan Hui, Huamin Qu, Wai Tong, and Xian Xu"
1918,Through the Expert's Eyes: Exploring Asynchronous Expert Perspectives and Gaze Visualizations in XR,3DUI: Gaze 2,October 10 2025,12:00,13:00,Room 201 (Grand Ballroom 1),"Clara Sayffaerth, Annika Köhler, Julian Rasch, Albrecht Schmidt, and Florian Müller"
1345,Don't Miss Notifications: Exploring Gaze Notifications for Virtual Reality Cooking Environment,3DUI: Gaze 2,October 10 2025,12:00,13:00,Room 201 (Grand Ballroom 1),"Rumeysa Turkmen, Francisco Raul Ortega, and Anil Ufuk Batmaz"
1106,Exploring and Modeling the Effects of Eye-Tracking Accuracy and Precision on Gaze-Based Steering in Virtual Environments,"Gaze, Eye Tracking & Guidance",October 10 2025,14:30,15:30,Room 201 (Grand Ballroom 1),"Xuning Hu, Yichuan Zhang, Yushi Wei, Liangyuting Zhang, Yue Li, Wolfgang Stuerzlinger, and Hai-Ning Liang"
1639,Focus-Aware Task Guidance: Adaptive AR Instruction Playback via Gaze and Location Tracking,"Gaze, Eye Tracking & Guidance",October 10 2025,14:30,15:30,Room 201 (Grand Ballroom 1),"Bowen Yuan, Hyunwoo Cho, Theophilus Teo, Gun A. Lee, and Mark Billinghurst"
1606,A Bi-Directional Deep Learning Interface for Gaze-Controlled Wheelchair Navigation: Overcoming the Midas Touch Problem,"Gaze, Eye Tracking & Guidance",October 10 2025,14:30,15:30,Room 201 (Grand Ballroom 1),"Gianni Bremer, Joseph McIntyre, Je Hyung Jung, Stefano Ellero, Issa Mouawad, Davide Di Gloria, and Markus Lappe"
1295,Will You Be Aware? Eye Tracking–Based Modeling of Situational Awareness in Augmented Reality,"Gaze, Eye Tracking & Guidance",October 10 2025,14:30,15:30,Room 201 (Grand Ballroom 1),"Zhehan Qu, Tianyi Hu, Christian Fronk, and Maria Gorlatova"
1195,"An Open Testbed for Mixed Reality Precise Rotation Guidance: Comparative case study of Arrow, Gestalt and Magnifier Cues",3DUI 3,October 10 2025,14:30,15:30,Room 202 (Grand Ballroom 2),"Mine Dastan, Fabio Vangi, Francesco Musolino, Giuseppe Coviello, and Michele Fiorentino"
1532,Improving Mid-Air Sketching in Room-Scale Virtual Reality with Dynamic Color-to-Depth and Opacity Cues,3DUI 3,October 10 2025,14:30,15:30,Room 202 (Grand Ballroom 2),"Samantha Monty, Dennis Alexander Mevißen, and Marc Erich Latoschik"
1174,MirrorPose: Enabling Full-body Gestures Interaction for Head-mounted Devices with a Full-length Mirror,3DUI 3,October 10 2025,14:30,15:30,Room 202 (Grand Ballroom 2),"Chenlong Zhang, Xingwang Xue, Xiyu Sheng, Qiang Qu, Qi Lin, and Yiran Shen"
1812,AR Surgical Navigation With Surface Tracing:Comparing In-Situ Visualization with Tool-Tracking Guidance for Neurosurgical Applications,3DUI 3,October 10 2025,14:30,15:30,Room 202 (Grand Ballroom 2),Marc J Fischer and E. Brandon Strong
1084,Virtual Roomie: Immersive Layout Co-design with a Virtual Agent,Agents Design,October 9 2025,10:30,11:30,Room 202 (Grand Ballroom 2),"Angela L. Jimenez, Pedro Acevedo, and Christos Mousas"
1775,HAT Swapping: Virtual Agents as Stand-ins for Absent Human Instructors in Virtual Training,Agents Design,October 9 2025,10:30,11:30,Room 202 (Grand Ballroom 2),"Jingjing Zhang, Binyang Han, Ze Dong, Jack Topliss, Mamehgol Yousefi, Gun A. Lee, Simon Hoermann, Wendy Zhang, and Thammathip Piumsomboon"
2015,"Laughing Together: A Pilot Study on the Role of Virtual Agents in Emotional Contagion, Conformity, and Opinion Shaping in a Virtual Stand-Up Comedy Club",Agents Design,October 9 2025,10:30,11:30,Room 202 (Grand Ballroom 2),"Similde Mair, Fariba Mostajeran, Joan Llobera, Mel Slater, and Frank Steinicke"
1984,An Embodied AR Navigation Agent: Integrating BIM with Retrieval-Augmented Generation for Language Guidance,Agents Design,October 9 2025,10:30,11:30,Room 202 (Grand Ballroom 2),"Hsuan-Kung Yang, Tsu-Ching Hsiao, Ryoichiro Oka, Ryuya Nishino, Satoko Tofukuji, and Norimasa Kobori"
1789,Navigation Pixie: Implementation and Empirical Study Toward On-demand Navigation Agents in Commercial Metaverse,Agents and AI,October 10 2025,10:30,11:30,Room 202 (Grand Ballroom 2),"Hikari Yanagawa, Yuichi Hiroi, Satomi Tokida, Yuji Hatada, and Takefumi Hiraki"
2197,Effects of AI-Powered Embodied Avatars on Communication Quality and Social Connection in Asynchronous Virtual Meetings,Agents and AI,October 10 2025,10:30,11:30,Room 202 (Grand Ballroom 2),"Hyeongil Nam, Muskan Sarvesh, Seoyoung Kang, Woontack Woo, and Kangsoo Kim"
1991,When LLMs Recognize Your Space: Research on Experiences with Spatially Aware LLM Agents,Agents and AI,October 10 2025,10:30,11:30,Room 202 (Grand Ballroom 2),"Seungwoo Oh, Nakyoung An, Youngwug Cho, Myeongul Jung, and Kwanguk Kim"
2067,The Impact of AI-Based Real-Time Gesture Generation and Immersion on the Perception of Others and Interaction Quality in Social XR,Agents and AI,October 10 2025,10:30,11:30,Room 202 (Grand Ballroom 2),"Christian Merz, Niklas Krome, Carolin Wienrich, Stefan Kopp, and Marc Erich Latoschik"
1559,Impact of Avatar-Locomotion Congruence on User Experience and Identification in Virtual Reality,Avatar 2: Capabilities,October 10 2025,14:30,15:30,Room 204,"Omar Khan, Hyeongil Nam, and Kangsoo Kim"
1599,The Honest Virtual Self? Effects of Avatar Personalization and Motor Control on Physiological Responses to Deceptive Behaviours,Avatar 2: Capabilities,October 10 2025,14:30,15:30,Room 204,"Anca Salagean, Darren Cosker, and Danaë Stanton Fraser"
1499,Can the Perceived Capability of Your Virtual Avatar Enhance Exercise Performance?,Avatar 2: Capabilities,October 10 2025,14:30,15:30,Room 204,"Sen-Zhe Xu, Bosheng Huang, Zian Zhou, runyu Li, Song-Hai Zhang, and Xu-Cheng Yin"
1614,Move Like an Ammonite: Personalizing Force Feedback for Avatar Embodiment in Virtual Reality,Agents Personalization,October 11 2025,09:00,10:00,Room 204,"Shun Kondoh, Takeru Hashimoto, and Takuji Narumi"
1123,What if Virtual Agents Had Scents? Users' Judgments of Virtual Agent Personality and Appeals in Encounters,Agents Personalization,October 11 2025,09:00,10:00,Room 204,"Dongyun Han, Siyeon Bak, So-Hui Kim, Kangsoo Kim, Sun-Jeong Kim, and Isaac Cho"
1682,PersoNo: Personalised Notification Urgency Classifier in Mixed Reality,Agents Personalization,October 11 2025,09:00,10:00,Room 204,"Jingyao Zheng, Haodi Weng, Xian Wang, Chengbin Cui, Sven Mayer, Chi-lok Tai, and Lik-Hang Lee"
1893,"Exploring the Influence of Crowd Size across Different Tasks on User Performance, Experience and Social Presence in Shared Virtual Environments",Humans & Collaboration,October 10 2025,10:30,11:30,Room 204,"Haozhong Yang, Yi-Jun Li, Zinan Han, Wentong Shu, and Miao Wang"
1447,Effects of Organizational and Behavioral Reactions of Virtual Crowds on Users' Visual Attention in a Stressful Virtual Reality Simulation,Humans & Collaboration,October 10 2025,10:30,11:30,Room 204,"Sai-Keung Wong, Yi-An Chen, Elizabeth A Schlesener, Rohith Venkatakrishnan, Roshan Venkatakrishnan, Yu-Ting Chao, and Sabarish V. Babu"
1502,Rendering Togetherness: Embodied Social Synchronization in Multi-User VR,Humans & Collaboration,October 10 2025,10:30,11:30,Room 204,"Julia Ayache, Julien Laroche, Maxime Hérissé, Pierre Jean, Anna Katharina Hebborn, Didier Stricker, and Benoit G. Bardy"
TVCG,Can People's Brains Synchronize during Remote AR Collaboration?,Humans & Collaboration,October 10 2025,10:30,11:30,Room 204,"Jaehwan You, Myeongul Jung, and Kwanguk Kim"
1810,Zero-Sum vs. Positive-Sum: Effects of Inter-team Competition Modes and Haptic Feedback on Team Flow in Multi-team VR,Haptics & Collaboration,October 10 2025,14:30,15:30,Room 205,"Yu Wang, Qian qian Xiong, Yan Hu, Yulong Bian, Juan Liu, Wei Lin, Yichen Hong, Chao Zhou, Wei Gai, Shijun Liu, and Chenglei Yang"
2018,Investigating the Effects of Haptic Illusions in Collaborative Virtual Reality,Haptics & Collaboration,October 10 2025,14:30,15:30,Room 205,"Yannick Weiss, Julian Rasch, Jonas Fischer, and Florian Müller"
1633,Touching the Virtual Dog: Effects of Active and Passive Haptic Feedback on Social Bonding and Presence in VR Pet Interaction,Haptics & Collaboration,October 10 2025,14:30,15:30,Room 205,"Ahmad A Fouad, Hyeongil Nam, Anh Nguyen, Dongyun Han, DongHoon Kim, Isaac Cho, and Kangsoo Kim"
1013,What Makes Object Referencing Clear? Multimodal Strategies for Shared Understanding in XR Collaboration,Haptics & Collaboration,October 10 2025,14:30,15:30,Room 205,"Jeonghyeon Kim, Jemin Lee, and Youngwon Kim"
1955,Bichronous Collaboration: Across Time and Space Workflow for Physical Tasks Using Spatiotemporal Cues,Collaboration,October 9 2025,12:00,13:00,Room 301 (Conference Hall),"Hyunwoo Cho, Eunhee Chang, Bowen Yuan, Theophilus Teo, Gun A. Lee, Thammathip Piumsomboon, and Mark Billinghurst"
1233,VR Onboarding Procedures for Multiple Collocated Users: See-Through Tutorials and Group Transitions,Collaboration,October 9 2025,12:00,13:00,Room 301 (Conference Hall),"Ephraim Schott, Tony Jan Zoeppig, Pramoch Viriyathomrongul, Anton Benjamin Lammert, and Bernd Froehlich"
1511,"Shared, Replicated, or Separated? A Comparative Study of Virtual Workspace Configurations for Collaborative Hands-On Learning",Collaboration,October 9 2025,12:00,13:00,Room 301 (Conference Hall),"Juliette Le Meudec, Anastasia Bezerianos, and Arnaud Prouzeau"
1708,PACT: Modeling Coordination Dynamics in Scale-Asymmetric Virtual Reality Collaboration,Collaboration,October 9 2025,12:00,13:00,Room 301 (Conference Hall),Hayeon Kim and In-Kwon Lee
1304,PanoFloor: reconstruction and immersive exploration of large multi-room scenes from a minimal set of registered panoramic images using denoised density maps,Machine Learning for 3D reconstruction/rendering,October 10 2025,12:00,13:00,Room 301 (Conference Hall),"Giovanni Pintore, Sara Jashari, Marco Agus, and Enrico Gobbetti"
1308,DGDiff: Immersive 3D Indoor Scene Synthesis via Dialog-Graph Conditioned Diffusion,Machine Learning for 3D reconstruction/rendering,October 10 2025,12:00,13:00,Room 301 (Conference Hall),"Yusen Liu, Xinyu Zhang, Qichuan Geng, and Zhong Zhou"
1550,Real-Time Photorealistic Style Transfer for Immersive VR Environments,Machine Learning for 3D reconstruction/rendering,October 10 2025,12:00,13:00,Room 301 (Conference Hall),"Taejoon Kim, BON -WOO HWANG, Seung-Uk Yoon, Seong-Jae Lim, Kinam Kim, and Seung Wook Lee"
1962,Fast SP-GS: Reconstructing Dynamic Scenes in Minutes,Machine Learning for 3D reconstruction/rendering,October 10 2025,12:00,13:00,Room 301 (Conference Hall),"Diwen Wan, Jiaxiang Tang, Ruijie Lu, Yuxiang Wang, and Gang Zeng"
1762,Dual Focus Multiscale Attention for Object Detection in Mixed Reality: Leveraging Customizable Synthetic Datasets,Machine learning/rendering for objects and hands,October 11 2025,14:30,15:30,Room 202 (Grand Ballroom 2),"Salah eddine LAIDOUDI, Madjid MAIDI, and Samir Otmane"
1647,EgoBlur: Blurry Egocentric XR Dataset for Robust Fast Hand Pose Estimation,Machine learning/rendering for objects and hands,October 11 2025,14:30,15:30,Room 202 (Grand Ballroom 2),"Chae Eun Lee, Anmol Namdev, haeri jang, Prateek Kukreja, Meghana Shankar, Green Rosh, Pawan Prasad BH, Sung Soo (Sean) Choi, and Kihwan Kim"
1216,Scalable Object Detection in Mixed Reality using Incremental Re-training and One-shot 3D Annotation,Machine learning/rendering for objects and hands,October 11 2025,14:30,15:30,Room 202 (Grand Ballroom 2),"Alireza Taheritajar, Jeffrey L Benson, Anthony Gibson, Brandon Wilburn, Jieqiong Zhao, and Jason Orlosky"
1440,GSHOI Denoiser: Denoising Gaussian Hand-Object Interaction Rendering,Machine learning/rendering for objects and hands,October 11 2025,14:30,15:30,Room 202 (Grand Ballroom 2),"Lizhi Zhao, Xuequan Lu, Bin Hu, Jian Wu, Wei Ke, and Lili Wang"
1231,Enhanced Velocity Field Modeling for Gaussian Video Reconstruction,Machine Learning and Graphics,October 9 2025,10:30,11:30,Room 204,"Zhenyang Li, Xiaoyang Bai, Tongchen Zhang, Pengfei Shen, Weiwei Xu, and Yifan (Evan) Peng"
1245,Real-Time Physically-Based Relighting and Composition of Radiance Fields with Proxy Meshes,Machine Learning and Graphics,October 9 2025,10:30,11:30,Room 204,"Yang Xu, Jinyang Bo, Junfeng Wang, He Tian, Yuhe Zhang, Kang Li, and Guohua Geng"
1960,Parameter-Free Neural Lens Blur Rendering for High-Fidelity Composites,Machine Learning and Graphics,October 9 2025,10:30,11:30,Room 204,"Lingyan Ruan, Bin Chen, and Taehyun James Rhee"
1334,Radiance Fields in XR: A Survey on How Radiance Fields are Envisioned and Addressed for XR Research,Machine Learning and Graphics,October 9 2025,10:30,11:30,Room 204,"Ke Li, Mana Masuda, Susanne Schmidt, and Shohei Mori"
1446,HFM-GS: half-face mapping 3DGS avatar based real-time HMD removal,Machine Learning and Human Animation,October 11 2025,12:00,13:00,Room 301 (Conference Hall),"Kangyu Wang, Jian Wu, Runze Fan, Hongwen Zhang, Sio Kei Im, and Lili Wang"
1672,AniDream: Generating Skeleton-Guided Anime Avatars from Text Prompts,Machine Learning and Human Animation,October 11 2025,12:00,13:00,Room 301 (Conference Hall),Fernanda Miyuki Yamada and Hiroki Takahashi
TVCG,HaHeAE: Learning Generalisable Joint Representations of Human Hand and Head Movements in Extended Reality,Machine Learning and Human Animation,October 11 2025,12:00,13:00,Room 301 (Conference Hall),"Zhiming Hu, Guanhua Zhang, Zheming Yin, Daniel Häufle, Syn Schmitt, and Andreas Bulling"
1422,From Notation to Gesture: Virtual Conductor Gesture Generation in VR via Structured Score Semantics,Machine Learning and Human Animation,October 11 2025,12:00,13:00,Room 301 (Conference Hall),"Haozhe Ma, Yuxin Shen, Wei Liang, and Yunde Jia"
1987,Multimodal Contrastive Learning for Cybersickness Recognition Using Brain Connectivity Graph Representation,Cybersickness 1,October 9 2025,16:00,17:00,Room 205,"Peike Wang, Ming Li, Ziteng Wang, Yong-Jin Liu, and Lili Wang"
1542,Probabilistic Verification of Cybersickness in Virtual Reality Through Bayesian Networks,Cybersickness 1,October 9 2025,16:00,17:00,Room 205,"Peng Wu, Nasim Ahmed, Abhiram Sarma, Kaiming Huang, Rifatul Islam, Bin Li, Tian Lan, Gang Tan, and Mahdi Imani"
1939,Field Dependence as a Predictor of Cybersickness,Cybersickness 1,October 9 2025,16:00,17:00,Room 205,"Wallace Santos Lages, Brady Li, and Zachary Gaydos"
1730,Beyond Supervised Limits: Semi-Supervised Cybersickness Prediction from Physiological Signals with Minimal Labeled Data,Cybersickness 1,October 9 2025,16:00,17:00,Room 205,"A E M Ridwan, John Quarles, and Rifatul Islam"
TVCG,Neck Goes VRrr: Reducing Rotation-Induced Virtual Reality Sickness through Neck Muscle Vibrations,Cybersickness Reduction,October 11 2025,12:00,13:00,Room 205,Kun-Woo Song and Sang Ho Yoon
1613,Do Vibrotactile-Rendered Virtual Walking Sensations Reduce VR Cybersickness?,Cybersickness Reduction,October 11 2025,12:00,13:00,Room 205,"Jaewan Lim, Sooyeon Choi, Jimin Ryu, Taeyoon Lee, Jiyoung Park, and Yongjae Yoo"
1149,Unwinding Rotations Reduces VR Sickness in Nonsimulated Immersive Telepresence,Cybersickness Reduction,October 11 2025,12:00,13:00,Room 205,"Filip Kulisiewicz, Basak Sakcak, Evan G. Center, Juho Kalliokoski, Katherine J. Mimnaugh, Steven LaValle, and Timo Ojala"
CGA,"Sitting or standing in VR: About Comfort, Conflicts, and Hazards",Cybersickness Reduction,October 11 2025,12:00,13:00,Room 205,Daniel Zelasko and Bernhard Riecke
1376,Visceral Notices and Privacy Mechanisms for Eye Tracking in Augmented Reality,Privacy & Attacks,October 10 2025,10:30,11:30,Room 205,"Nissi Otoo, Kailon Blue, G. Nikki Ramirez, Evan Selinger, Shaun Foster, and Brendan David-John"
1168,p-Blend: Privacy- and Utility-Preserving Blendshape Perturbation Against Re-identification Attacks in Virtual Reality,Privacy & Attacks,October 10 2025,10:30,11:30,Room 205,"Jingwei Liu, Lai Wei, Yan Hu, guangrong zhao, Qing Yang, Guangdong Bai, and Yiran Shen"
1342,PrivateXR: Defending Privacy Attacks in Extended Reality Through Explainable AI-Guided Differential Privacy,Privacy & Attacks,October 10 2025,10:30,11:30,Room 205,"Ripan Kumar Kundu, Istiak Ahmed, and Khaza Anuarul Hoque"
1223,Detecting Visual Information Manipulation Attacks in Augmented Reality: A Multimodal Semantic Reasoning Approach,Privacy & Attacks,October 10 2025,10:30,11:30,Room 205,Yanming Xiu and Maria Gorlatova
1320,Enhancing Pseudo-Haptics on the Hand by Viewpoint Shifts in VR,Haptics 1,October 9 2025,10:30,11:30,Room 301 (Conference Hall),"Riku Watanabe, Mitsuru Ito, Akifumi Takahashi, Tomohiro Amemiya, and Yuki Ban"
1390,ThumbShift: Modulating Perceived Object Properties through Dynamic Thumb Repositioning,Haptics 1,October 9 2025,10:30,11:30,Room 301 (Conference Hall),"Jian Zhang, Gavin Buckingham, Wafa Johal, and Jarrod Knibbe"
1657,Design and Evaluation of Pseudo-Haptic Techniques for Simulating Surface Stickiness in VR,Haptics 1,October 9 2025,10:30,11:30,Room 301 (Conference Hall),"Yutaro Hirao, Céleste Bourse, Koki Hori, Takuji Narumi, Ferran Argelaguet Sanz, and Anatole Lécuyer"
1473,The Effect of Realism on Hand Redirection in Immersive Environments,Haptics 1,October 9 2025,10:30,11:30,Room 301 (Conference Hall),"Shuqi Liao, Yuqi Zhou, and Voicu Popescu"
1272,Passive Haptics Role in VR-Based Ergonomic Workplace Assessment,Haptics 2,October 11 2025,14:30,15:30,Room 204,"Robin Grießel, Britta Weber, and Benjamin Weyers"
TVCG,Investigating the Potential of Haptic Props for 3D Object Manipulation in Handheld AR,Haptics 2,October 11 2025,14:30,15:30,Room 204,"Jonathan Wieland, Maximilian Dürr, Rebecca Frisch, Melissa Michalke, Dominik Morgenstern, and Harald Reiterer"
1783,A Handheld Stiffness Display with a Programmable Spring and Electrostatic Clutches for Haptic Interaction in Virtual Reality,Haptics 2,October 11 2025,14:30,15:30,Room 204,"Ke Shi, Quan Xiong, Maozeng Zhang, Aiguo Song, and Lifeng Zhu"
1514,HaptiCeiling: An Encountered-type Overhead Haptic Interface in Virtual Reality,Haptics 2,October 11 2025,14:30,15:30,Room 204,"Kaihan Wang, Han Shi, Junyu Chen, Xuesong Zhang, and Seungwoo Je"
1133,Negotiated User-to-Group Teleportations in Social VR,Locomotion & teleportation,October 11 2025,09:00,10:00,Room 202 (Grand Ballroom 2),"Wentong Shu, Yi-Jun Li, Haozhong Yang, Zinan Han, Frank Steinicke, and Miao Wang"
1874,FootPorting: Exploring Foot-Based Teleportation Techniques for Seated Users in Confined Spaces,Locomotion & teleportation,October 11 2025,09:00,10:00,Room 202 (Grand Ballroom 2),"Tingjie Wan, Yunxin Xu, Yue Li, Nilufar Baghaei, and Hai-Ning Liang"
1179,The Relationship Between Time and Distance Perception in Egocentric Target-Selection-Based Teleportation,Locomotion & teleportation,October 11 2025,09:00,10:00,Room 202 (Grand Ballroom 2),Matthias Wölwer and Daniel Zielasko
1330,SafeTeleport: Potential Field-Guided Teleportation for Personal Space Protection in Social VR,Locomotion & teleportation,October 11 2025,09:00,10:00,Room 202 (Grand Ballroom 2),"Yi-Jun Li, Sen-Zhe Xu, Wentong Shu, Haozhong Yang, Zinan Han, Miao Wang, and Song-Hai Zhang"
1226,MyGO: Virtual Reality Locomotion Prediction using Multitask Learning,Locomotion,October 9 2025,16:00,17:00,Room 204,"Zicheng Liu, Ding Ding, Zhuying Li, and Chuhan Shi"
2038,Effects of Peripheral Optic Flow Location and Speed on Unintended Positional Drift during Walk-In-Place in VR,Locomotion,October 9 2025,16:00,17:00,Room 204,"Seungwoo Eun, Taeyun Noh, and Myungho Lee"
1361,Exploring Plausible Preference of Body-centric Locomotion with Reinforcement Learning in Virtual Reality,Locomotion,October 9 2025,16:00,17:00,Room 204,"Zijun Mai, BoYu Gao, Huawei Tu, Haojun Zheng, and Henry Been-Lirn Duh"
1929,Investigating the Effect of Visual Cue Density on Situational Awareness during Immersive Navigation,Locomotion,October 9 2025,16:00,17:00,Room 204,"Nicole Weidinger, Tobias Schreck, Bruce H Thomas, Neven ElSayed, and Eduardo Veas"
1397,TouchWalker: Real-Time Avatar Locomotion from Touchscreen Finger Walking,Locomotion & 3DUI,October 9 2025,12:00,13:00,Room 201 (Grand Ballroom 1),"Geuntae Park, Jiwon Yi, Taehyun James Rhee, Kwanguk Kim, and Yoonsang Lee"
